Sample,E tech. Rep. 1,E tech. Rep. 2,E tech. Rep. 3,GAPDH tech. Rep. 1,GAPDH tech. Rep. 2,GAPDH tech. Rep. 3
NI-1,1650,1090,913,116000,99200,99700
NI-2,1440,1680,1870,65700,54800,93200
INF-1,83000000,58500000,67700000,41800,36700,33700
INF-2,67000000,55900000,57100000,40600,37100,34000
INF-1,74200000,57700000,61100000,15500,10200,13300
INF-2,68700000,40100000,60500000,20500,16200,15500
Rem-1,11500,10800,9710,38300,32900,32400
Rem-2,11700,9490,8060,34600,31000,32100
siRNA 1-1,103000000,68700000,67400000,38300,34800,33600
siRNA 1-2,80500000,64700000,64200000,43000,35400,34400
siRNA 1-3,86200000,69700000,63500000,48200,42200,40300
siRNA 1-4,102000000,84300000,85200000,40700,36500,37100
siRNA 1-5,90300000,71200000,70800000,41000,36200,36100
siRNA 1-6,84300000,87700000,71700000,41800,38600,36100
siRNA 2-1,27600000,26900000,20300000,91700,84200,74600
siRNA 2-2,42100000,31600000,33100000,89900,76700,75400
siRNA 2-3,24600000,20300000,21800000,184000,164000,149000
siRNA 2-4,42000000,34500000,34700000,119000,94200,102000
siRNA 2-5,41600000,32400000,31100000,105000,85400,82400
siRNA 2-6,27400000,23400000,22600000,145000,128000,122000
siRNA 3-1,22700000,20100000,17900000,107000,86800,81300
siRNA 3-2,22600000,18100000,18400000,114000,88300,86700
siRNA 3-3,19800000,17500000,19400000,146000,122000,111000
siRNA 3-4,43300000,34600000,33200000,70800,56900,55500
siRNA 3-5,30500000,26600000,26700000,81200,71900,68600
siRNA 3-6,27500000,23300000,23400000,103000,91500,85300
siRNA 4-1,45100000,40100000,35100000,91000,79700,73400
siRNA 4-2,44400000,40800000,42700000,122000,111000,100000
siRNA 4-3,48300000,43000000,40800000,101000,84900,77700
siRNA 4-4,56600000,50400000,50300000,79900,70200,67900
siRNA 4-5,47700000,36400000,32700000,84300,78600,73400
siRNA 4-6,46200000,31300000,29700000,117000,105000,103000
siRNA 5-1,43100000,35800000,39200000,89900,76400,71500
siRNA 5-2,55100000,46500000,44400000,91100,77200,74600
siRNA 5-3,48900000,44200000,34900000,119000,94100,89300
siRNA 5-4,63500000,55400000,56100000,74400,64700,60300
siRNA 5-5,67600000,57500000,53300000,67700,60800,54800
siRNA 5-6,32700000,32100000,28900000,131000,108000,108000
siRNA 6-1,98500000,93700000,55500000,57800,45000,34300
siRNA 6-2,83900000,68300000,66800000,81000,69800,66700
siRNA 6-3,72000000,63700000,69000000,82900,71000,68000
siRNA 6-4,94900000,82300000,79700000,53600,47500,45400
siRNA 6-5,81200000,62700000,65600000,55100,43200,41500
siRNA 6-6,111000000,71200000,65000000,54600,45200,42400
siRNA 7-1,79500000,99300000,59600000,38500,31800,29600
siRNA 7-2,99800000,63300000,83200000,44500,37900,36200
siRNA 7-3,111000000,90400000,,45600,37500,35400
siRNA 7-4,105000000,80500000,70900000,42200,37000,35500
siRNA 7-5,67700000,53800000,55400000,36800,30000,27300
siRNA 7-6,65200000,86000000,44300000,39000,35300,32600
siRNA 8-1,42400000,35600000,33500000,79400,63000,61000
siRNA 8-2,40100000,30800000,30700000,100000,80600,77000
siRNA 8-3,41800000,34600000,27400000,110000,83100,66200
siRNA 8-4,42400000,39700000,40400000,81300,68800,63200
siRNA 8-5,30400000,25100000,24100000,128000,105000,97300
siRNA 8-6,24000000,19300000,19300000,108000,66100,82200
siRNA ø-1,118000000,83200000,78000000,20300,16700,15600
siRNA ø-2,134000000,89300000,97500000,25500,20900,20000
siRNA ø-3,130000000,104000000,87900000,24300,19500,18500
siRNA ø-4,139000000,115000000,110000000,22000,18300,17100
siRNA ø-5,114000000,81500000,87100000,19800,15400,15000
siRNA ø-6,88600000,75900000,53700000,24800,19400,19000
mock-1,174000000,82700000,86300000,20300,15100,14600
mock-2,102000000,65600000,66600000,24200,18500,18600
mock-3,107000000,77900000,73500000,25300,20100,18800
mock-4,80600000,70800000,57300000,19700,14800,14000
mock-5,73700000,63500000,59300000,18400,12900,13100
mock-6,76500000,64300000,56300000,20100,15600,14400
