Sample,E tech. Rep. 1,E tech. Rep. 2,E tech. Rep. 3,GAPDH tech. Rep. 1,GAPDH tech. Rep. 2,GAPDH tech. Rep. 3
NI-1,220.978925598191,188.509022587819,146.078194096727,11590.5579411408,9128.417471148,7884.13389020525
NI-2,2747.78010474583,2056.61145699892,2983.97085987133,11527.0602337906,12195.255483523,11948.5280657585
INF-1,18833269.3764478,10824113.6063262,6966451.48633458,1430.33710795249,1355.73773195827,763.868954124632
INF-2,35029984.8222617,27718995.561173,12352768.7571854,3068.97152565726,2392.65143370841,1809.53253675023
Rem-1,234.859546128547,123.975079670338,143.591761259761,7878.50612440601,6061.20851298476,7393.06527828704
Rem-2,204.926443890522,215.760679081757,232.59408249768,3767.82114895217,3311.72656189257,4931.0167924737
siRNA 1-1,4313267.89615897,4099881.37350581,4799458.59596193,1512.93177151322,1028.51036252603,1030.67807223558
siRNA 1-2,4828360.99960942,4886884.28093307,5192965.60954818,2362.81464155594,1530.2342420057,1241.59323473758
siRNA 1-3,4376432.68895631,4401901.62775491,6766171.81206945,2412.80805030676,1779.55406430972,1716.95837326665
siRNA 1-4,6650923.13237687,9457091.72720393,9791452.24462042,2021.94625705493,1580.90315815913,1650.33451027009
siRNA 1-5,5642077.98998067,5011879.52370772,7452094.66302734,1706.6547912051,1224.81701189913,1203.68511391709
siRNA 1-6,5281261.43453953,12601613.9955544,6880540.22877923,1712.54525682514,1177.39159220837,1212.61220406069
siRNA 2-1,1712894.46453098,912911.853568844,1027201.43631375,5680.37945877119,3524.00575718951,5174.3798478759
siRNA 2-2,1458497.7586055,1363801.58340209,1443363.47434739,7809.69019484617,5509.46604262025,5813.43420898339
siRNA 2-3,1533993.54629747,1437230.11847067,801639.667420473,4023.30004278663,4812.70696169204,5365.23813855185
siRNA 2-4,920294.02622287,873322.808307388,1070733.21757584,7952.49770289108,4407.53536161904,11694.45691982
siRNA 2-5,790832.024267621,674169.714766222,641315.894714131,4551.75919552923,2985.45898166605,3193.59692935504
siRNA 2-6,1198013.7940191,1083769.19671837,1391368.44578394,6115.88083199734,4417.36411520988,3677.50125896595
siRNA 3-1,438606.046910782,399969.961796109,519487.975648425,4429.49453302184,3132.80188424938,3440.57007446775
siRNA 3-2,312756.945106927,365560.376320462,422830.004227064,7530.73986049987,5432.40365716142,4733.05526848572
siRNA 3-3,801639.667420473,755541.625956518,608995.862228423,6600.05428052839,4501.5011606099,4922.76644104293
siRNA 3-4,1247565.80962557,1273783.71434309,1748313.67403001,8553.51479560948,5046.28554304373,5279.09497339941
siRNA 3-5,304496.133547262,356161.81207143,444182.985050807,7380.60715928174,6700.30827009394,6708.87115249485
siRNA 3-6,802596.797561407,779718.306863314,1052595.16177756,9696.9158378363,6327.41955840101,6490.76793192522
siRNA 4-1,2176902.21124032,1869192.52530568,1697771.03415269,3129.72419817922,2387.89462666035,2377.28789138954
siRNA 4-2,3807339.89845737,2846373.45651424,4450816.34584061,4163.49786610952,3202.9381261531,2874.13350907302
siRNA 4-3,2611302.15042647,2798692.17065954,3804210.93891174,3523.7699259248,2952.57068370661,2564.40017050122
siRNA 4-4,3683304.59100902,3385035.65822452,3662929.25007782,4161.70848339901,2986.70682209376,3343.83891360797
siRNA 4-5,3077464.3162432,1882952.86327719,8756166.40424614,3876.03386018263,2765.94151356938,2453.78499954334
siRNA 4-6,2460217.55789137,2204789.44993265,4157798.2954963,5347.735162784,3836.48621420505,2887.17679037515
siRNA 5-1,5865467.76714746,3702685.42537673,3459622.37590698,1670.06068991488,1614.22411720017,1210.37459659491
siRNA 5-2,10803697.2319325,8952998.12403822,6997009.82887507,2829.90741228823,2300.4261724787,1804.85088861901
siRNA 5-3,7633385.15821252,5579437.39743219,4942402.46480145,2334.64602410098,2440.3229138417,1931.65262668544
siRNA 5-4,9839286.87714256,6652670.32251323,9558613.61471353,2317.6458670739,2039.66724520519,2644.06754170386
siRNA 5-5,8190547.32760387,5621995.02133104,6324004.29175497,2874.02480239898,2413.32428729661,2371.39104378334
siRNA 5-6,6165088.72877992,5422677.89544136,5288351.42457409,3101.44214652788,2636.58595621589,2362.21553094509
H2O-1,0.977596762202484,2.8514622506997,13.7582572996729,5.03025768574958,4.79031531943117,2.17604972560808
NI-3,1.37926823398576,64.7462515261139,82.7828917253524,1944.07275125785,2026.43761679945,1274.72746830797
NI-4,895.883014506761,908.703975718874,4135.54008702437,2740.0117791222,2568.3776074252,2812.42163438558
INF-3,7353193.90025795,5458771.70282361,8670036.58336116,440.98469185977,405.253335102603,443.464863173624
INF-4,8256511.48262889,14887455.5904019,17267059.6897186,1030.67040349601,928.650400415092,951.82708953795
Rem-3,229.159611198973,232.177000098286,181.032848320742,2769.89250300903,1718.93932874647,808.313049219296
Rem-4,124.997640561244,171.25287636146,141.281071170737,1717.17509182729,1038.79117021293,1388.17234492514
siRNA 6-1,5685571.88110163,4826175.48455069,4441230.95590233,2564.50668419384,1399.80845693205,1209.2323179175
siRNA 6-2,8082890.55739826,5385260.18883411,5698366.6031434,3280.70395733338,2008.53161018697,1499.86912050655
siRNA 6-3,6897125.44932878,5604687.14085507,4868277.40855308,3567.97044129683,2285.70644235128,1505.90466823445
siRNA 6-4,11613024.0446731,5945983.40769367,5667004.1571967,4519.52602131583,2406.04697678776,1951.44886050805
siRNA 6-5,7915635.87159288,5035768.66823273,6267441.8696988,3999.55440836024,1840.33352261795,1577.36473179286
siRNA 6-6,7818378.12401649,5998627.83669059,6122136.61061272,4551.46248122168,2496.13280188361,2093.28158945706
siRNA 7-1,5290939.86553782,4291877.69135117,4010918.23895392,1882.56636616726,878.043052228972,799.839962497853
