Sample,E tech. Rep. 1,E tech. Rep. 2,E tech. Rep. 3,GAPDH tech. Rep. 1,GAPDH tech. Rep. 2,GAPDH tech. Rep. 3
NI-1,1.04298462457035,31.6607731618756,34.8987841434064,15199.0205446004,10378.1912503537,7945.09103770219
NI-2,43.2896645478223,7.4260372618177,11.9957929265571,16355.0240396534,7853.67084109664,14192.0758287538
INF-1,10857000.0081378,6599238.6860945,8813105.51829865,2133.50044268476,1570.49803393852,2184.48799202637
INF-2,10566055.1833413,6473819.87127235,17037056.3971861,3481.3396900871,2980.62426727048,3048.86133821339
Rem-1,126.908295867362,180.291412224258,266.95506108928,11176.6562102819,7802.31464008997,9755.60354405562
Rem-2,11757.6686250927,258.040263879449,167.998727640833,8231.25373444744,7552.30780379579,7824.15495991789
Mix siRNA3_siRNA8-1,1670212.57957441,1601676.65235423,1743106.33901648,10433.51612221,8517.49876267378,8601.40247149595
Mix siRNA3_siRNA8-2,1471640.14138437,1602053.17206441,2327041.80583894,11569.0683552086,8512.29472768728,7882.7430513919
Mix siRNA3_siRNA8-3,1375448.27829309,1663239.49153827,2396477.51821424,11537.2369821465,10063.2876180612,7385.67307157218
Mix siRNA3_siRNA8-4,2268225.78381798,2413975.81744946,2513904.98349157,13987.6075825951,12829.9259464581,11432.7942761399
Mix siRNA3_siRNA8-5,1701847.73265637,1785728.68592942,2351757.02626478,17562.2351522003,12547.3467016492,8821.14606784107
Mix siRNA3_siRNA8-6,4242525.0095062,3453530.06569649,3391710.92869581,19588.0554843313,14129.0745527854,12453.0396492863
Mix siRNA3_siRNA4_siRNA8-1,1851059.90999078,1655563.01838629,2058099.65012572,13122.0070177674,9010.39009599893,8713.35276293733
Mix siRNA3_siRNA4_siRNA8-2,3251900.80820193,3183235.11742525,3173400.69987307,20425.1219000447,10410.6368703277,8602.25411756882
Mix siRNA3_siRNA4_siRNA8-3,2972043.25505568,2861108.11376545,7763390.38600678,15195.0292562491,9118.65746363355,6395.96674733829
Mix siRNA3_siRNA4_siRNA8-4,5621270.13626847,3270562.78047399,4203651.41966626,23549.8823279436,9994.8338199062,9196.99338079043
Mix siRNA3_siRNA4_siRNA8-5,3806598.18642806,3097678.98394747,3484164.70011726,15580.5170942155,7317.1432666564,8083.9590812064
Mix siRNA3_siRNA4_siRNA8-6,3676983.6346468,3593051.87347071,4342418.37262982,13710.1171522925,7507.28331089574,6912.29679425562
siRNA ø-1,8047901.11337938,6204865.48944226,5936454.76855516,4743.35806933789,2748.07018899131,2194.60513381306
siRNA ø-2,6373191.54948192,12359517.4389395,5479034.67391575,5256.60694246414,3132.27311962426,3087.07276047844
siRNA ø-3,7763390.38600678,5469869.17796748,4897011.69392441,3823.15663809291,2557.28964652424,2294.53858474109
siRNA ø-4,9717517.59028476,7470937.3666723,10786929.8251522,5494.55078543511,3069.17331161445,3559.06749889577
siRNA ø-5,9450998.2737743,8227410.96166416,8609893.39340658,4039.00119810845,2491.23412457286,2106.92877341146
siRNA ø-6,8106375.95967898,9127985.43482338,12194933.6067039,3261.89302450639,2090.55564554853,2506.88384092021
mock-1,4511341.54039502,4205439.44206845,5014719.87612704,2308.97103395851,1706.44206153853,1751.93634983948
mock-2,8485425.05064567,7696728.91283167,9637412.11120361,4771.97275525222,2697.6023424927,2732.24812586541
mock-3,6841537.97013441,9613391.38809926,6786948.31722728,4455.68635958584,2727.49854780808,1974.95587113124
mock-4,8853199.22575108,10964501.1040359,16037604.8373983,5722.13193554616,3534.20489720318,2899.90743207264
mock-5,7830321.82045209,9215380.59834055,12425320.0678207,4116.87161077737,3192.13192487695,2788.87830021933
mock-6,8147959.42349495,8401986.48105452,8890503.87191228,3729.61983189701,2787.24857723973,2452.40220947961
