"Country","Virus Name","Submitted"
"USA","hCoV-19/USA/NJ-PHEL-V22041122/2022","2022-09-23"
"India","hCoV-19/India/TN-ICMR-INSACOG-SPHL1165/2021","2022-09-16"
"Denmark","hCoV-19/Denmark/DCGC-577643/2021","2022-09-14"
"Italy","hCoV-19/Italy/LAZ-FPG-024/2021","2022-09-13"
"Guinea","hCoV-19/Guinea/CERFIG-21653/2021","2022-09-09"
"Canada","hCoV-19/Canada/ON-SRI-2021-03/2021","2022-09-09"
"United Kingdom","hCoV-19/England/PHEC-15492F/2020","2022-09-09"
"Brazil","hCoV-19/Brazil/SP-L41_GATES-CD10841/2021","2022-09-07"
"France","hCoV-19/France/IDF-001-0308/2021","2022-09-05"
"Mongolia","hCoV-19/Mongolia/UB-334802/2021","2022-09-01"
"Slovenia","hCoV-19/Slovenia/232934/2021","2022-08-30"
"Belgium","hCoV-19/Belgium/rega-42269/2021","2022-08-26"
"Senegal","hCoV-19/Senegal/187734/2021","2022-08-23"
"Egypt","hCoV-19/Egypt/ARMY-ECRRM00102/2021","2022-08-23"
"Germany","hCoV-19/Germany/BY-MVP-000016275/2021","2022-08-16"
"Palestine","hCoV-19/Palestine/QIBPS-MR-2201-664/2022","2022-08-10"
"Kenya","hCoV-19/Kenya/SS10076/2021","2022-08-04"
"Nigeria","hCoV-19/Nigeria/ISTH-E0181/2020","2022-08-02"
"Taiwan","hCoV-19/Taiwan/NTU-HCH-058/2021","2022-08-01"
"Haiti","hCoV-19/Haiti/UF-3-21/2021","2022-08-01"
"Iran","hCoV-19/Iran/AK-02-NIC/2021","2022-07-31"
"Spain","hCoV-19/Spain/CN-HUNSC_ITER_150146727/2021","2022-07-28"
"Ecuador","hCoV-19/Ecuador/NIC-INSPI-1811-5479/2021","2022-07-27"
"Mexico","hCoV-19/Mexico/CHH_INCMNSZ_CS-168316/2021","2022-07-20"
"Poland","hCoV-19/Poland/wompmodlin_1559/2021","2022-07-15"
"Lebanon","hCoV-19/Lebanon/4577/2021","2022-07-14"
"Mauritius","hCoV-19/Mauritius/P2490/2021","2022-07-14"
"Japan","hCoV-19/Japan/Donner563/2021","2022-07-13"
"Kazakhstan","hCoV-19/Kazakhstan/NLA_barcode85-18-MN908947_3/2021","2022-07-08"
"Ukraine","hCoV-19/Ukraine/62957/2021","2022-07-06"
"Austria","hCoV-19/Austria/MUIV-0250/2021","2022-07-06"
"South Africa","hCoV-19/South Africa/NHLS-UCT-GS-C076/2021","2022-07-01"
"Turkey","hCoV-19/Turkey/Ankara-1717_312/2021","2022-06-27"
"Morocco","hCoV-19/Morocco/CNRST_HMIMV_AS_64/2021","2022-06-24"
"Hong Kong","hCoV-19/Hong Kong/WHP3258-P2/2020","2022-06-23"
"Sweden","hCoV-19/Sweden/01_SE100_22CS104196/2022","2022-06-20"
"Kyrgyzstan","hCoV-19/Kyrgyzstan/NRL-53484/2021","2022-06-14"
"Ireland","hCoV-19/Ireland/D-NVRL-21IRL49192/2021","2022-06-09"
"Latvia","hCoV-19/Latvia/6096/2021","2022-06-08"
"Netherlands","hCoV-19/Netherlands/UT-EMC-535/2022","2022-06-07"
"Lesotho","hCoV-19/Lesotho/N7130/2021","2022-05-31"
"Malaysia","hCoV-19/Malaysia/UPM13983D/2021","2022-05-31"
"Pakistan","hCoV-19/Pakistan/AKU-FEB-RUN-MIN-10/2021","2022-05-27"
"Namibia","hCoV-19/Namibia/N5919/2021","2022-05-26"
"Botswana","hCoV-19/Botswana/BOT441877/2021","2022-05-20"
"Georgia","hCoV-19/Georgia/Tb-sNGS186/2021","2022-05-16"
"Colombia","hCoV-19/Colombia/SAN-43020/2021","2022-05-16"
"Philippines","hCoV-19/Philippines/PH-RITM-1361/2022","2022-05-16"
