"Country","Virus Name","Submitted"
"South Africa","hCoV-19/South Africa/NHLS-UCT-GS-BM60/2021","2022-09-24"
"Italy","hCoV-19/Italy/LAZ-FPG-245/2021","2022-09-13"
"France","hCoV-19/France/IDF-002-0268/2021","2022-09-05"
"Brazil","hCoV-19/Brazil/SP-L176-CD9882/2021","2022-09-02"
"Belgium","hCoV-19/Belgium/rega-42252/2021","2022-08-26"
"Sudan","hCoV-19/Sudan/SS1765/2021","2022-08-25"
"Senegal","hCoV-19/Senegal/137882/2021","2022-08-23"
"USA","hCoV-19/USA/TN-VUMC-SDL-SBP_8190-MS-1_0053/2021","2022-08-23"
"Kenya","hCoV-19/Kenya/SS10164/2021","2022-08-04"
"India","hCoV-19/India/UP_CDRI_105/2021","2022-08-01"
"Spain","hCoV-19/Spain/CN-HUNSC_ITER_175042029/2021","2022-07-28"
"Zambia","hCoV-19/Zambia/RC-165/2021","2022-07-21"
"Mauritius","hCoV-19/Mauritius/629415/2021","2022-07-14"
"Canada","hCoV-19/Canada/ON-KHS-21-00967-v1/2021","2022-07-14"
"Germany","hCoV-19/Germany/NW-IOV-KNim0580/2021","2022-07-12"
"Pakistan","hCoV-19/Pakistan/UWARN-AKU-KHI-31041-S25/2021","2022-07-10"
"Turkey","hCoV-19/Turkey/Ankara-1717_344/2021","2022-06-27"
"Bangladesh","hCoV-19/Bangladesh/icddrb-GAC2-277/2021","2022-06-27"
"Morocco","hCoV-19/Morocco/CNRST_LCAM_520/2021","2022-06-24"
"Hong Kong","hCoV-19/Hong Kong/WHP4415/2021","2022-06-23"
"Malaysia","hCoV-19/Malaysia/UKM2438/2021","2022-06-21"
"China","hCoV-19/Shandong/QD-1/2021","2022-06-16"
"Kyrgyzstan","hCoV-19/Kyrgyzstan/NRL-60762/2021","2022-06-14"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_002D/2021","2022-06-05"
"Lesotho","hCoV-19/Lesotho/N4818/2020","2022-05-31"
"Democratic Republic of the Congo","hCoV-19/DRC/INRB-RDC-692/2022","2022-05-31"
"Botswana","hCoV-19/Botswana/BOT470661/2021","2022-05-31"
"Namibia","hCoV-19/Namibia/N12300/2021","2022-05-26"
"Eswatini","hCoV-19/Eswatini/N18721/2021","2022-05-25"
"Ireland","hCoV-19/Ireland/WD-NVRL-21IRL49401/2021","2022-04-28"
"Reunion","hCoV-19/Reunion/LRE-ERFB-2068575832/2021","2022-04-13"
"Philippines","hCoV-19/Philippines/PH-PGCMIN23/2021","2022-04-11"
"Iran","hCoV-19/Iran/T128/2021","2022-04-11"
"Gabon","hCoV-19/Gabon/X0455/2021","2022-03-29"
"Norway","hCoV-19/Norway/9474_2/2021","2022-03-23"
"Australia","hCoV-19/Australia/NSW-SAVID-4414/2021","2022-03-23"
"Malawi","hCoV-19/Malawi/MLW-00535/2021","2022-03-21"
"Austria","hCoV-19/Austria/CeMM5291/2021","2022-03-21"
"Russia","hCoV-19/Russia/MUR-969/2021","2022-03-21"
"Tunisia","hCoV-19/Tunisia/S-0427/2021","2022-02-22"
"South Korea","hCoV-19/South Korea/NMC-08/2021","2022-02-22"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv546/2021","2022-02-21"
"United Kingdom","hCoV-19/Northern Ireland/NIRE-0033d0/2021","2022-02-21"
"Thailand","hCoV-19/Thailand/CU-A21387-NT/2021","2022-02-18"
"Cameroon","hCoV-19/Cameroon/CAM-536/2021","2022-02-17"
"Latvia","hCoV-19/Latvia/5870/2021","2022-02-03"
"Nicaragua","hCoV-19/Nicaragua/MAN-76284/2021","2022-01-27"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/74111/2021","2022-01-21"
"Mozambique","hCoV-19/Mozambique/CERI-KRISP-K027176/2021","2022-01-18"
"Madagascar","hCoV-19/Madagascar/IPM-62045/2021","2022-01-10"
"Ghana","hCoV-19/Ghana/NMIMR-NUR-21-20961/2021","2021-12-25"
"Czech Republic","hCoV-19/Czech Republic/IMG30S_6295/2021","2021-12-20"
"Colombia","hCoV-19/Colombia/CES-IAVH-VG-8790/2021","2021-12-17"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2068-659585/2021","2021-12-16"
"Sweden","hCoV-19/Sweden/01_SE100_21CS100266/2021","2021-12-06"
"Benin","hCoV-19/Benin/NMIMR-356024/2021","2021-12-04"
"Netherlands","hCoV-19/Netherlands/NH-RIVM-68128/2021","2021-11-12"
"Ethiopia","hCoV-19/Ethiopia/12252/2021","2021-11-10"
"United Arab Emirates","hCoV-19/env/United Arab Emirates/ADAFSA-04/2021","2021-11-10"
"Niger","hCoV-19/Niger/OIMM17/2021","2021-11-09"
"Switzerland","hCoV-19/Switzerland/SG-Risch-2142500708/2021","2021-11-02"
"Taiwan","hCoV-19/Taiwan/1013/2021","2021-11-02"
"Oman","hCoV-19/Oman/52110179WG/2021","2021-10-28"
"Japan","hCoV-19/Japan/TY27-328-P0/2021","2021-10-21"
"Seychelles","hCoV-19/Seychelles/SS481/2021","2021-10-06"
"Rwanda","hCoV-19/Rwanda/CV2231/2021","2021-10-04"
"Chile","hCoV-19/Chile/TA-145202/2021","2021-10-01"
"Angola","hCoV-19/Angola/CERI-KRISP-K024617/2021","2021-09-30"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/76496/2021","2021-09-29"
"Liberia","hCoV-19/Liberia/LIB-0255/2021","2021-09-16"
"Nigeria","hCoV-19/Nigeria/LSB_COV2-07-21-CA-1015/2021","2021-09-15"
"Israel","hCoV-19/Israel/CVL-2557-vIIBR /2021","2021-09-14"
"Finland","hCoV-19/Finland/V9985/2021","2021-09-11"
"Indonesia","hCoV-19/Indonesia/JI-ITD-42835Nv/2021","2021-09-09"
"Jordan","hCoV-19/Jordan/Biolab0163/2021","2021-09-09"
"Mayotte","hCoV-19/Mayotte/IPP22375/2021","2021-09-06"
"Djibouti","hCoV-19/Djibouti/NAMRU3_G209/2021","2021-09-03"
"Iceland","hCoV-19/Iceland/11259/2021","2021-09-03"
"Togo","hCoV-19/Togo/NMIMR-21-TGS-114/2021","2021-09-03"
"Slovakia","hCoV-19/Slovakia/12955/2021","2021-09-03"
"Somalia","hCoV-19/Somalia/NAMRU3_Mog_42/2021","2021-09-03"
"Zimbabwe","hCoV-19/Zimbabwe/CERI-KRISP-K021539/2021","2021-08-27"
"Denmark","hCoV-19/Denmark/DCGC-133207/2021","2021-08-26"
"Cayman Islands","hCoV-19/Cayman Islands/21182/2021","2021-08-24"
"Greece","hCoV-19/Greece/26890/2021","2021-08-23"
"Andorra","hCoV-19/Andorre/AND-CHU-TLS-2121014531/2021","2021-08-17"
"Guam","hCoV-19/Guam/GU-CDC-2-4611169/2021","2021-08-12"
"Bahrain","hCoV-19/Bahrain/342427939/2021","2021-08-12"
"Luxembourg","hCoV-19/Luxembourg/LNS5204848/2021","2021-08-11"
"Guatemala","hCoV-19/Guatemala/811/2021","2021-08-08"
"Sri Lanka","hCoV-19/Sri Lanka/aicbu715/2021","2021-08-08"
"Portugal","hCoV-19/Portugal/PT12971/2021","2021-08-03"
