"Country","Virus Name","Submitted"
"Indonesia","hCoV-19/Indonesia/KI-FKUNMUL-17935/2021","2022-09-26"
"South Africa","hCoV-19/South Africa/NHLS-UCT-GS-BM68/2021","2022-09-24"
"USA","hCoV-19/USA/AZ-ASU91471/2021","2022-09-24"
"France","hCoV-19/France/ARA-LBZCentre-5300105824/2021","2022-09-23"
"Brazil","hCoV-19/Brazil/un-NVBS23369GENOV702409280914/2022","2022-09-23"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CVL-000173/2021","2022-09-23"
"Iraq","hCoV-19/Iraq/Sulaimani-5/2021","2022-09-23"
"Russia","hCoV-19/Russia/MOW-RSMU-SNZ555/2022","2022-09-23"
"India","hCoV-19/India/KL-693-KZD-6997/2022","2022-09-23"
"Netherlands","hCoV-19/Netherlands/ZH-EMC-6776/2021","2022-09-23"
"South Korea","hCoV-19/South Korea/JIHE-356277/2021","2022-09-23"
"Peru","hCoV-19/Peru/LIM-PUCP-CSFV3601/2021","2022-09-22"
"Spain","hCoV-19/Spain/CT-HUGTiPM113TD4A10/2021","2022-09-20"
"Bulgaria","hCoV-19/Bulgaria/22BG-NC_018226_R29/2022","2022-09-20"
"Tunisia","hCoV-19/Tunisia/4550/2022","2022-09-19"
"Laos","hCoV-19/Laos/LOMWRU-0442/2021","2022-09-19"
"Ghana","hCoV-19/Ghana/WACCBIP-GS3319/2022","2022-09-18"
"Germany","hCoV-19/Germany/BE-RKI-I-970774/2022","2022-09-15"
"Malaysia","hCoV-19/Malaysia/UNIMAS-GHML1693/2022","2022-09-13"
"Italy","hCoV-19/Italy/LAZ-FPG-206/2021","2022-09-13"
"Denmark","hCoV-19/Denmark/DCGC-577010/2021","2022-09-13"
"Ukraine","hCoV-19/Ukraine/68311z/2021","2022-09-09"
"United Kingdom","hCoV-19/England/PHEC-YYDJYS6/2021","2022-09-09"
"Bangladesh","hCoV-19/Bangladesh/IEDCR-AFIP-021/2022","2022-09-08"
"Poland","hCoV-19/Poland/Gyncentrum_1948/2022","2022-09-07"
"Taiwan","hCoV-19/Taiwan/1766975/2021","2022-09-06"
"Mexico","hCoV-19/Mexico/YUC_IBT_IMSS_9190/2022","2022-09-03"
"Sweden","hCoV-19/Sweden/03_SE600_000200313097N2/2022","2022-09-02"
"Thailand","hCoV-19/Thailand/MUMT-53/2021","2022-09-02"
"Mongolia","hCoV-19/Mongolia/GA-26-05/2021","2022-08-31"
"Japan","hCoV-19/Japan/RB22-010-56-P0/2022","2022-08-31"
"Belgium","hCoV-19/Belgium/rega-44886/2022","2022-08-30"
"Colombia","hCoV-19/Colombia/DC-UNIANDES-VG-19224/2022","2022-08-29"
"Sudan","hCoV-19/Sudan/SS1772/2021","2022-08-25"
"Lebanon","hCoV-19/Lebanon/LEBN-GS-106/2022","2022-08-24"
"Mozambique","hCoV-19/Mozambique/INS-CMN-03-29/2022","2022-08-24"
"Nigeria","hCoV-19/Nigeria/ISTH-E0229/2021","2022-08-24"
"Guinea","hCoV-19/Guinea/LFHVG-G0742/2021","2022-08-24"
"Austria","hCoV-19/Austria/LB-R00095-S329/2022","2022-08-24"
"Botswana","hCoV-19/Botswana/R163B62_BHP_861464/2021","2022-08-23"
"Egypt","hCoV-19/Egypt/ARMY-ECRRM0128/2021","2022-08-23"
"Portugal","hCoV-19/Portugal/PT40772/2021","2022-08-22"
"Senegal","hCoV-19/Senegal/23337713/2022","2022-08-22"
"Argentina","hCoV-19/Argentina/BIA-169/2021","2022-08-22"
"Canada","hCoV-19/Canada/SK-RRPL-339621/2021","2022-08-19"
"Switzerland","hCoV-19/Switzerland/ZH-ETHZ-38002692/2022","2022-08-19"
"Turkey","hCoV-19/Turkey/PD02/2021","2022-08-19"
"Philippines","hCoV-19/Philippines/PH-PGCMIN764/2022","2022-08-17"
"Mauritius","hCoV-19/Mauritius/CERI-KRISP-K044303/2022","2022-08-15"
"Northern Mariana Islands","hCoV-19/USA/MP-CDC-2-6258545/2021","2022-08-12"
"Palestine","hCoV-19/Palestine/QIBPS-MH-2201-722/2022","2022-08-10"
"Australia","hCoV-19/Australia/NSW-ICPMR-31083/2021","2022-08-10"
"Slovenia","hCoV-19/Slovenia/13194/2021","2022-08-09"
"Kenya","hCoV-19/Kenya/SS10081/2021","2022-08-04"
