"Country","Virus Name","Submitted"
"France","hCoV-19/France/IDF-LBZCentre-1111507121/2021","2022-07-15"
"Cameroon","hCoV-19/Cameroon/CoV5469/2022","2022-07-12"
"Belgium","hCoV-19/Belgium/rega-23994/2021","2022-06-17"
"Canada","hCoV-19/Canada/un-NML-276857/2021","2022-05-13"
"Democratic Republic of the Congo","hCoV-19/DRC/INRB-RDC-610/2022","2022-05-03"
"USA","hCoV-19/USA/VA-VTVAS3-GSC31812/2022","2022-04-28"
"United Kingdom","hCoV-19/England/DHSC-CYDHAFS/2021","2022-04-11"
"Sweden","hCoV-19/Sweden/461847760501/2021","2022-04-07"
"India","hCoV-19/India/DL-NCDC-7209285/2021","2022-03-17"
"Seychelles","hCoV-19/Seychelles/SS5605/2021","2022-03-16"
"Central African Republic","hCoV-19/Central African Republic/RCA-054/2022","2022-03-09"
"Chad","hCoV-19/Chad/TCH-004/2021","2022-03-06"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv485/2021","2022-02-21"
"Rwanda","hCoV-19/Rwanda/NRLNAT4327/2021","2022-02-20"
"Republic of the Congo","hCoV-19/Congo/RC-348/2021","2022-02-17"
"Nigeria","hCoV-19/Nigeria/ON274/2021","2022-02-09"
"Botswana","hCoV-19/Botswana/CERI-KRISP-K027669/2021","2022-02-02"
"Germany","hCoV-19/Germany/NW-UHE-Essen_Outbreak_2/2021","2022-02-02"
"Thailand","hCoV-19/Thailand/NIC_BKK_SEQ24348/2021","2022-01-25"
"Qatar","hCoV-19/Qatar/QA-QU-18-33-B8/2021","2022-01-24"
"Switzerland","hCoV-19/Switzerland/VS-ETHZ-35457456/2021","2022-01-17"
"Luxembourg","hCoV-19/Luxembourg/LNS6636501/2021","2022-01-17"
"Italy","hCoV-19/Italy/VEN-IRCCS-SCDC-88/2021","2022-01-17"
"Czech Republic","hCoV-19/Czech Republic/FNHK-Ps-002208R/2021","2022-01-14"
"Turkey","hCoV-19/Turkey/HSGM-F13073/2021","2022-01-08"
"Bahrain","hCoV-19/Bahrain/21922097700_S21_L001/2021","2021-12-31"
"Kenya","hCoV-19/Kenya/SS4231/2021","2021-12-20"
"Reunion","hCoV-19/Reunion/HCL021215597001/2021","2021-12-13"
"Indonesia","hCoV-19/Indonesia/JK-NIHRD-WGS13396/2021","2021-12-11"
"Ghana","hCoV-19/Ghana/TRA-2159/2021","2021-12-01"
"Spain","hCoV-19/Spain/CT-HUVH-E44748/2021","2021-11-15"
"Netherlands","hCoV-19/Netherlands/GR-RIVM-68090/2021","2021-11-12"
