"Country","Virus Name","Submitted"
"Venezuela","hCoV-19/Venezuela/NE422/2021","2022-09-24"
"Peru","hCoV-19/Peru/LIM-PUCP-CSFV0006/2021","2022-09-15"
"Brazil","hCoV-19/Brazil/RS-FIOCRUZ-IAM11732/2021","2022-09-14"
"Italy","hCoV-19/Italy/LAZ-FPG-048/2021","2022-09-13"
"USA","hCoV-19/USA/DE-DHSS-B1099513/2021","2022-09-02"
"Belgium","hCoV-19/Belgium/rega-41954/2021","2022-08-26"
"France","hCoV-19/France/PDL-LBZCentre-A300309286/2021","2022-08-25"
"Argentina","hCoV-19/Argentina/BIA-332/2021","2022-08-11"
"Haiti","hCoV-19/Haiti/UF-2-37/2021","2022-08-01"
"India","hCoV-19/India/UP_CDRI_54/2020","2022-08-01"
"Spain","hCoV-19/Spain/CN-HUNSC_ITER_175043513/2021","2022-07-28"
"Ecuador","hCoV-19/Ecuador/NIC-INSPI-1811-5406/2021","2022-07-27"
"United Kingdom","hCoV-19/Northern Ireland/NIRE-01d222/2022","2022-07-25"
"Mexico","hCoV-19/Mexico/CMX_INCMNSZ_CS-174903/2021","2022-07-20"
"Canada","hCoV-19/Canada/ON-KHS-21-00575-v1/2021","2022-07-14"
"Colombia","hCoV-19/Colombia/DC-INS-VG-5290/2021","2022-07-04"
"Paraguay","hCoV-19/Paraguay/244474/2021","2022-06-08"
"Panama","hCoV-19/Panama/SEQ638-GMI/2021","2022-06-05"
"Uruguay","hCoV-19/Uruguay/DLSP_4910/2021","2022-05-04"
"Ireland","hCoV-19/Ireland/D-NVRL-t21IRL86610/2021","2022-04-28"
"Chile","hCoV-19/Chile/AI-141525/2021","2022-04-19"
"French Guiana","hCoV-19/French Guiana/GUF-ERFB-2068633947/2021","2022-04-13"
"Martinique","hCoV-19/Martinique/MTQ-ERFB-2068554724/2021","2022-04-13"
"Guadeloupe","hCoV-19/Guadeloupe/GUA-ERFB-2068659812/2021","2022-04-12"
"Austria","hCoV-19/Austria/CV9292/2021","2022-04-11"
"Bolivia","hCoV-19/Bolivia/Pt-INLASA-792/2021","2022-04-06"
"The Bahamas","hCoV-19/Bahamas/15401-GMI/2021","2022-04-01"
"Germany","hCoV-19/Germany/HH-hpi-p8396/2021","2022-03-23"
"Iran","hCoV-19/Iran/AN126/2022","2022-03-14"
"Norway","hCoV-19/Norway/11589/2021","2022-03-08"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/26191/2021","2022-02-25"
"South Korea","hCoV-19/South Korea/NMC-09/2021","2022-02-22"
"Honduras","hCoV-19/Honduras/83400-ICGES/2021","2022-02-16"
"Dominican Republic","hCoV-19/Dominican Republic/UNIBE237/2020","2022-02-08"
"Netherlands","hCoV-19/Netherlands/OV-GD-8466003/2021","2022-02-04"
"Nicaragua","hCoV-19/Nicaragua/MAN-134181/2021","2022-01-27"
"Saint Vincent and the Grenadines","hCoV-19/Saint Vincent and the Grenadines/88864/2021","2022-01-21"
"Guyana","hCoV-19/Guyana/70546/2021","2022-01-21"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/79844/2021","2022-01-21"
"British Virgin Islands","hCoV-19/British Virgin Islands/69644/2021","2022-01-21"
"Lithuania","hCoV-19/Lithuania/LTU000_NMRVI_128672/2021","2022-01-13"
"Denmark","hCoV-19/Denmark/DCGC-269581/2021","2021-12-21"
"Costa Rica","hCoV-19/Costa Rica/INC-2120-715668/2021","2021-12-17"
"Guatemala","hCoV-19/Guatemala/ASI4395/2021","2021-12-16"
"Malta","hCoV-19/Malta/MDxMDH618/2021","2021-12-09"
"Sweden","hCoV-19/Sweden/01_SE100_21CS500447/2021","2021-12-06"
"South Africa","hCoV-19/South Africa/UFS-241121NB01/2021","2021-12-02"
"Poland","hCoV-19/Poland/MIHE-210409081/2021","2021-11-24"
"Russia","hCoV-19/Russia/SA-17620-080521/2021","2021-11-20"
"Japan","hCoV-19/Japan/TY30-974-P0/2021","2021-11-12"
"Portugal","hCoV-19/Portugal/PT20164/2021","2021-11-09"
"Israel","hCoV-19/Israel/SMC-7015132/2021","2021-11-09"
"Belize","hCoV-19/Belize/CML-176/2021","2021-11-03"
"Taiwan","hCoV-19/Taiwan/906/2021","2021-11-02"
"Jordan","hCoV-19/Jordan/Biolab0241/2021","2021-11-02"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CDC-S755/2021","2021-10-30"
"Suriname","hCoV-19/Suriname/SR-705/2021","2021-10-28"
"Philippines","hCoV-19/Philippines/PH-PGC-60145/2021","2021-10-26"
"Switzerland","hCoV-19/Switzerland/AG-Risch-2142400164/2021","2021-10-22"
"Luxembourg","hCoV-19/Luxembourg/LNS1192819/2021","2021-10-20"
"El Salvador","hCoV-19/El Salvador/INC-LNSP-002/2021","2021-10-14"
"Croatia","hCoV-19/Croatia/9450/2021","2021-10-09"
"Ghana","hCoV-19/Ghana/nCoV-TRA-894/2021","2021-09-29"
"Latvia","hCoV-19/Latvia/2453/2021","2021-09-27"
"Finland","hCoV-19/Finland/10811/2021","2021-09-11"
"Aruba","hCoV-19/Aruba/AW-RIVM-55223/2021","2021-09-10"
"Iceland","hCoV-19/Iceland/7034/2021","2021-09-03"
"Barbados","hCoV-19/Barbados/79905/2021","2021-09-03"
"Turkey","hCoV-19/Turkey/HSGM-C926/2021","2021-09-02"
"Romania","hCoV-19/Romania/Prahova_458390/2021","2021-09-02"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/79660/2021","2021-08-30"
"Montenegro","hCoV-19/Montenegro/CO-00366_MNE000_2586542102/2021","2021-08-25"
"Montserrat","hCoV-19/Montserrat/77650/2021","2021-08-24"
"Slovenia","hCoV-19/Slovenia/306632_1/2021","2021-08-19"
"U.S. Virgin Islands","hCoV-19/U.S. Virgin Islands/VI-Yale-6661/2021","2021-08-11"
"Bahrain","hCoV-19/Bahrain/921183622/2021","2021-08-02"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-46223/2021","2021-07-30"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-45034/2021","2021-07-30"
"Curacao","hCoV-19/Curacao/CW-RIVM-44543/2021","2021-07-30"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/VFS-UNSA-LMGFI038/2021","2021-07-26"
"Czech Republic","hCoV-19/Czech Republic/NRL_9348/2021","2021-07-23"
"Pakistan","hCoV-19/Pakistan/NIH-B10-S13/2021","2021-07-11"
"Cayman Islands","hCoV-19/Cayman Islands/26625/2021","2021-06-24"
"New Zealand","hCoV-19/New Zealand/21MV0468/2021","2021-06-23"
"Singapore","hCoV-19/Singapore/1546/2021","2021-06-21"
"Angola","hCoV-19/Angola/CERI-KRISP-K012707/2021","2021-06-11"
"Australia","hCoV-19/Australia/NSW1595/2021","2021-06-09"
"Greece","hCoV-19/Greece/209012/2021","2021-06-08"
"Guam","hCoV-19/Guam/GU-CDC-2-4449094/2021","2021-06-08"
"China","hCoV-19/Guangdong/IVDC-05-02/2021","2021-05-08"
"Thailand","hCoV-19/Thailand/CU-A21002-NT/2021","2021-04-23"
"Bangladesh","hCoV-19/Bangladesh/BCSIR-DNAS-15/2021","2021-04-20"
"Faroe Islands","hCoV-19/Faroe Islands/HFS-193/2021","2021-01-21"
