"Country","Virus Name","Submitted"
"Peru","hCoV-19/Peru/LIM-PUCP-CSFV3332/2021","2022-09-15"
"Brazil","hCoV-19/Brazil/RS-FIOCRUZ-IAM11772/2021","2022-09-14"
"USA","hCoV-19/USA/TN-VUMC-SDL-SBP_8190-MS-1_0440/2021","2022-08-23"
"Spain","hCoV-19/Spain/CN-HUNSC_ITER_900216883/2021","2022-07-28"
"Ecuador","hCoV-19/Ecuador/NIC-INSPI-1811-5473/2021","2022-07-27"
"Argentina","hCoV-19/Argentina/PAIS-G1123/2022","2022-06-26"
"Mexico","hCoV-19/Mexico/NLE-UANL-084/2021","2022-06-02"
"Colombia","hCoV-19/Colombia/SAN-22226/2021","2022-05-16"
"France","hCoV-19/France/OCC-GENBIO-J01GN2000052/2021","2022-04-29"
"Ireland","hCoV-19/Ireland/D-NVRL-M32IRL96419/2021","2022-04-28"
"Chile","hCoV-19/Chile/AR-86428/2021","2022-04-19"
"Bolivia","hCoV-19/Bolivia/SC-INLASA-18269/2021","2022-04-07"
"Panama","hCoV-19/Panama/GMI-PAM96171/2021","2022-04-02"
"Austria","hCoV-19/Austria/CeMM8999/2021","2022-03-21"
"Venezuela","hCoV-19/Venezuela/Dtt4698/2021","2022-03-06"
"Nicaragua","hCoV-19/Nicaragua/MAN-117113/2021","2022-01-27"
"Saint Kitts and Nevis","hCoV-19/Saint Kitts and Nevis/85365/2021","2022-01-21"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/KCUS170763/2021","2022-01-07"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-1994-685909/2021","2021-12-16"
"Canada","hCoV-19/Canada/QC-1nIUH-5524338182/2021","2021-12-15"
"Anguilla","hCoV-19/Anguilla/105189/2021","2021-12-07"
"Italy","hCoV-19/Italy/LOM-Pavia-10924/2021","2021-12-03"
"El Salvador","hCoV-19/El Salvador/02-22/2021","2021-11-24"
"Puerto Rico","hCoV-19/Puerto Rico/PR-UPRRP-4144/2021","2021-11-23"
"Dominican Republic","hCoV-19/Dominican Republic/3002833686_697509/2021","2021-11-17"
"Israel","hCoV-19/Israel/SMC-7003015/2021","2021-11-10"
"Czech Republic","hCoV-19/Czech Republic/IMG15N_U35444/2021","2021-10-22"
"Belgium","hCoV-19/Belgium/rega-12500/2021","2021-10-21"
"Germany","hCoV-19/Germany/BY-MVP-000007381/2021","2021-10-11"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-58761/2021","2021-09-27"
"Switzerland","hCoV-19/Switzerland/SO-ETHZ-33586535/2021","2021-09-24"
"Japan","hCoV-19/Japan/IC-1980/2021","2021-09-21"
"Denmark","hCoV-19/Denmark/DCGC-124091/2021","2021-09-17"
"Guatemala","hCoV-19/Guatemala/ASI4298/2021","2021-09-09"
"South Africa","hCoV-19/South Africa/NICD-N13574/2021","2021-09-08"
"Mayotte","hCoV-19/Mayotte/IPP22382/2021","2021-09-06"
"Sweden","hCoV-19/Sweden/SUS0003669/2021","2021-08-22"
"Netherlands","hCoV-19/Netherlands/NH-RIVM-44571/2021","2021-07-30"
"Norway","hCoV-19/Norway/15394/2021","2021-07-29"
"United Kingdom","hCoV-19/Northern Ireland/PHEC-N303N77E/2021","2021-07-26"
"Poland","hCoV-19/Poland/0960WSN2021_wsseol/2021","2021-07-15"
"Portugal","hCoV-19/Portugal/PT9725/2021","2021-07-03"
"Aruba","hCoV-19/Aruba/AW-RIVM-40498/2021","2021-06-24"
"Uruguay","hCoV-19/Uruguay/UY-NYULH2104/2021","2021-06-05"
"Australia","hCoV-19/Australia/NSW4431/2021","2021-04-07"
