"Country","Virus Name","Submitted"
"Venezuela","hCoV-19/Venezuela/Apu677/2021","2022-09-24"
"Spain","hCoV-19/Spain/MD-HGUGM-5618634/2021","2022-09-05"
"USA","hCoV-19/USA/DE-DHSS-B1084234/2021","2022-09-02"
"Belgium","hCoV-19/Belgium/rega-42243/2021","2022-08-26"
"Mexico","hCoV-19/Mexico/CMX-115/2021","2022-08-18"
"Ecuador","hCoV-19/Ecuador/NIC-INSPI-1811-5480/2021","2022-07-27"
"Canada","hCoV-19/Canada/ON-KHS-21-03701-v1/2021","2022-07-06"
"Colombia","hCoV-19/Colombia/ATL-G-LRF_051/2021","2022-06-21"
"Panama","hCoV-19/Panama/M40822-GMI/2021","2022-06-05"
"Bolivia","hCoV-19/Bolivia/LP-INLASA-111067/2021","2022-05-29"
"France","hCoV-19/France/OCC-GENBIO-T27GN1910806/2021","2022-05-02"
"Chile","hCoV-19/Chile/RM-119704/2021","2022-04-19"
"Argentina","hCoV-19/Argentina/PAIS-G0792/2021","2022-03-16"
"Nicaragua","hCoV-19/Nicaragua/MAN-117626/2021","2022-02-24"
"Costa Rica","hCoV-19/Costa Rica/INC-1793-716564/2021","2022-02-24"
"United Kingdom","hCoV-19/Northern Ireland/NIRE-00acdd/2021","2022-02-21"
"Brazil","hCoV-19/Brazil/RO-FIOCRUZ-ILMD2203521/2021","2022-02-21"
"Netherlands","hCoV-19/Netherlands/OV-GD-9592036/2021","2022-02-04"
"Peru","hCoV-19/Peru/CUS-CUS00586/2021","2022-02-02"
"British Virgin Islands","hCoV-19/British Virgin Islands/79092/2021","2022-01-31"
"Saint Vincent and the Grenadines","hCoV-19/Saint Vincent and the Grenadines/88910/2021","2022-01-31"
"Jamaica","hCoV-19/Jamaica/82318/2021","2022-01-31"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/69640/2021","2022-01-31"
"Egypt","hCoV-19/Egypt/CPHL-EGY21046/2021","2022-01-25"
"Lithuania","hCoV-19/Lithuania/IBT-LSC-VU_r14_30/2021","2022-01-13"
"Mongolia","hCoV-19/Mongolia/202107054/2021","2022-01-07"
"Dominican Republic","hCoV-19/Dominican Republic/1316344/2021","2022-01-07"
"Morocco","hCoV-19/Morocco/RA42C/2021","2021-12-29"
"Denmark","hCoV-19/Denmark/DCGC-272667/2021","2021-12-21"
"Italy","hCoV-19/Italy/LOM-UniSR13/2021","2021-12-16"
"Israel","hCoV-19/Israel/SMC-7014523/2021","2021-11-09"
"Portugal","hCoV-19/Portugal/PT20009/2021","2021-11-08"
"Finland","hCoV-19/Finland/THL-202121391/2021","2021-11-05"
"Guatemala","hCoV-19/Guatemala/ASI3049/2021","2021-11-04"
"Germany","hCoV-19/Germany/NW-RKI-I-283432/2021","2021-10-21"
"Luxembourg","hCoV-19/Luxembourg/LNS4308875/2021","2021-10-20"
"Poland","hCoV-19/Poland/Gyncentrum0919/2021","2021-10-18"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CDC-S660/2021","2021-10-13"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-61673/2021","2021-10-05"
"Hong Kong","hCoV-19/Hong Kong/CM21000386_WHP4751/2021","2021-10-01"
"Japan","hCoV-19/Japan/TY26-717-P0/2021","2021-09-24"
"Slovakia","hCoV-19/Slovakia/15523/2021","2021-09-24"
"Aruba","hCoV-19/Aruba/AW-RIVM-56820/2021","2021-09-22"
"Czech Republic","hCoV-19/Czech Republic/KNL_2021-060140229/2021","2021-09-09"
"Haiti","hCoV-19/Haiti/63310101/2021","2021-09-08"
"Gibraltar","hCoV-19/Gibraltar/EXP_20072021-1397854-58/2021","2021-08-30"
"Curacao","hCoV-19/Curacao/CW-RIVM-51093/2021","2021-08-30"
"Sweden","hCoV-19/Sweden/LP000295581/2021","2021-08-30"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-51145/2021","2021-08-30"
"Switzerland","hCoV-19/Switzerland/VS-ICH-2210758540/2021","2021-08-26"
"Cayman Islands","hCoV-19/Cayman Islands/31379/2021","2021-08-25"
"Turkey","hCoV-19/Turkey/HSGM-G17712/2021","2021-08-15"
"Liechtenstein","hCoV-19/Liechtenstein/un-Risch-2140810066/2021","2021-08-13"
"U.S. Virgin Islands","hCoV-19/U.S. Virgin Islands/VI-Yale-6660/2021","2021-08-12"
"Romania","hCoV-19/Romania/MS-17859/2021","2021-08-07"
"Ireland","hCoV-19/Ireland/D-NVRL-S21IRL43278/2021","2021-07-22"
"South Korea","hCoV-19/South Korea/KDCA6502/2021","2021-07-21"
"Barbados","hCoV-19/Barbados/76424/2021","2021-07-15"
"Malta","hCoV-19/Malta/MDxMDH494/2021","2021-07-08"
"Austria","hCoV-19/Austria/CeMM11240/2021","2021-06-19"
