"Country","Virus Name","Submitted"
"South Korea","hCoV-19/South Korea/JIHE-373222/2022","2022-09-27"
"Australia","hCoV-19/Australia/WA7385/2022","2022-09-27"
"United Kingdom","hCoV-19/Scotland/LSPA-2C4CB66F/2022","2022-09-27"
"USA","hCoV-19/USA/CA-CCPHL-3657/2022","2022-09-27"
"Czech Republic","hCoV-19/Czech Republic/CSQ9798/2022","2022-09-27"
"India","hCoV-19/India/KL-962-WYD-6553/2022","2022-09-27"
"Germany","hCoV-19/Germany/NI-RKI-I-979331/2022","2022-09-27"
"Thailand","hCoV-19/Thailand/NIC_CRI_FRS2711/2022","2022-09-27"
"Russia","hCoV-19/Russia/MOW-RSMU-JQQ415/2022","2022-09-27"
"Japan","hCoV-19/Japan/TKYmbc4526/2022","2022-09-27"
"Malaysia","hCoV-19/Malaysia/USM_Monash_JKNK_qM82_28651/2022","2022-09-27"
"Poland","hCoV-19/Poland/PZH-UMB-18180/2022","2022-09-26"
"Italy","hCoV-19/Italy/EMR-BO_1852/2022","2022-09-26"
"Sweden","hCoV-19/Sweden/01_SE100_22CS105978/2022","2022-09-26"
"Mauritius","hCoV-19/Mauritius/CERI-KRISP-K046689/2022","2022-09-26"
"Colombia","hCoV-19/Colombia/CUN-UGRA-VG-24362/2022","2022-09-26"
"Peru","hCoV-19/Peru/PIU-INS-28096/2022","2022-09-26"
"Portugal","hCoV-19/Portugal/PT42421/2022","2022-09-26"
"Pakistan","hCoV-19/Pakistan/NIH-B96-S16/2022","2022-09-26"
"Netherlands","hCoV-19/Netherlands/LI-RIVM-111522/2022","2022-09-26"
"Aruba","hCoV-19/Aruba/AW-RIVM-111469/2022","2022-09-26"
"South Africa","hCoV-19/South Africa/CERI-KRISP-K046575/2022","2022-09-26"
"Algeria","hCoV-19/Algeria/37140/2022","2022-09-26"
"Morocco","hCoV-19/Morocco/964/2022","2022-09-26"
"Martinique","hCoV-19/Martinique/IPP50474/2022","2022-09-26"
"Slovenia","hCoV-19/Slovenia/08-099606-MB/2022","2022-09-26"
"Indonesia","hCoV-19/Indonesia/KT-GS-PAMKI-GSILab-1120590/2022","2022-09-26"
"Greece","hCoV-19/Greece/P39959/2022","2022-09-26"
"Spain","hCoV-19/Spain/IB-HUSE-06856/2022","2022-09-26"
"Belgium","hCoV-19/Belgium/AZDelta-2236-08918/2022","2022-09-26"
"Austria","hCoV-19/Austria/LB-R00102-S138/2022","2022-09-26"
"Ireland","hCoV-19/Ireland/G-SUH-N370/2022","2022-09-26"
"Canada","hCoV-19/Canada/ON-PHL-22-40278/2022","2022-09-26"
"Switzerland","hCoV-19/Switzerland/VD-CHUV-GEN13199/2022","2022-09-26"
"Costa Rica","hCoV-19/Costa Rica/INC-7003-767844/2022","2022-09-26"
"Denmark","hCoV-19/Denmark/DCGC-577367/2022","2022-09-26"
"Brazil","hCoV-19/Brazil/RJ-NVBS23763GENOV829688700534/2022","2022-09-26"
"Chile","hCoV-19/Chile/RM-111642/2022","2022-09-26"
"France","hCoV-19/France/IDF-LBZCentre-CZ2208280091/2022","2022-09-26"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/316732/2022","2022-09-25"
"Venezuela","hCoV-19/Venezuela/Dtt938/2022","2022-09-24"
"Guinea","hCoV-19/Guinea/INSP-107058/2022","2022-09-24"
"Brunei","hCoV-19/Brunei/7722012078/2022","2022-09-24"
"Hungary","hCoV-19/Hungary/6323-UPL22-004832/2022","2022-09-24"
"Djibouti","hCoV-19/Djibouti/NAMRU3_E876/2022","2022-09-23"
"Iceland","hCoV-19/Iceland/L-1590/2022","2022-09-23"
"Guadeloupe","hCoV-19/Guadeloupe/IPP50148/2022","2022-09-23"
