# Data taken from GenBank ACC # OP278726.1
ORF Length(a.a.)
E 75
M 222
N 419
NS3 275
NS6 61
NS7a 121
NS7b 43
NS8 121
NSP1 179
NSP10 138
NSP12 931
NSP13 600
NSP14 526
NSP15 345
NSP16 297
NSP2 637
NSP3 1944
NSP4 499
NSP5 305
NSP6 289
NSP7 82
NSP8 197
NSP9 112
Spike 1273
